Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:16,2561-04-03 13:43:16,0.120s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:16,2561-04-03 13:43:16,0.146s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:16,2561-04-03 13:43:16,0.133s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:16,2561-04-03 13:43:16,0.255s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:43:16,2561-04-03 13:43:17,0.202s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:43:17,2561-04-03 13:43:17,0.187s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:43:17,2561-04-03 13:43:17,0.209s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:17,2561-04-03 13:43:17,0.102s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:17,2561-04-03 13:43:17,0.112s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:17,2561-04-03 13:43:17,0.149s,PASSED
delay,Chrome 65.0.3325.181,,2561-04-03 13:43:17,2561-04-03 13:43:19,2.001s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:43:19,2561-04-03 13:43:19,0.134s,PASSED
delay,Chrome 65.0.3325.181,,2561-04-03 13:43:19,2561-04-03 13:43:21,2.002s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:43:21,2561-04-03 13:43:22,0.182s,PASSED
delay,Chrome 65.0.3325.181,,2561-04-03 13:43:22,2561-04-03 13:43:24,2.000s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:43:24,2561-04-03 13:43:24,0.133s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:24,2561-04-03 13:43:24,0.136s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:43:24,2561-04-03 13:43:24,0.163s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:24,2561-04-03 13:43:24,0.358s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:24,2561-04-03 13:43:25,0.142s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:25,2561-04-03 13:43:25,0.156s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:25,2561-04-03 13:43:25,0.157s,PASSED
click,Chrome 65.0.3325.181,,2561-04-03 13:43:25,2561-04-03 13:43:26,0.974s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2561-04-03 13:43:26,2561-04-03 13:43:26,0.145s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2561-04-03 13:43:26,2561-04-03 13:43:26,0.129s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-04-03 13:43:26,2561-04-03 13:43:27,0.728s,PASSED
,,,,,,
Test Cases/Register volunteer/Register05,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E21\u0E39\u0E25\u0E17\u0E31\u0E49\u0E07\u0E2B\u0E21\u0E14 \u0E42\u0E14\u0E22\u0E44\u0E21\u0E48\u0E40\u0E25\u0E37\u0E2D\u0E01\u0E43\u0E0A\u0E49\u0E23\u0E39\u0E1B\u0E20\u0E32\u0E1E,2561-04-03 13:43:27,2561-04-03 13:44:18,50.836s,PASSED
"Statement - randomString = CustomKeywords.generateEmail.genEmail.randomString(""abcdefghijklmnopqrstuvwxty123456789"", 10)",Chrome 65.0.3325.181,,2561-04-03 13:43:27,2561-04-03 13:43:27,0.000s,PASSED
"Statement - randomPass = CustomKeywords.generateEmail.genEmail.randomString(""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ"", 250)",Chrome 65.0.3325.181,,2561-04-03 13:43:27,2561-04-03 13:43:27,0.001s,PASSED
"Statement - randomNameTH = CustomKeywords.generateEmail.genEmail.randomString(""°¢§¶ß®©™´∞ØƒÊ‰”æ–—’√÷¿∂ÿŸ£•∫¬≠Í√∏–±æøÀ¶°Ø¥‚¨‡ÁÈË“… »«∆ΩÃ„≤≤∑◊Ï‘ŒÕ·ªº"", 250)",Chrome 65.0.3325.181,,2561-04-03 13:43:27,2561-04-03 13:43:27,0.000s,PASSED
"Statement - randomNameEN = CustomKeywords.generateEmail.genEmail.randomString(""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ"", 250)",Chrome 65.0.3325.181,,2561-04-03 13:43:27,2561-04-03 13:43:27,0.000s,PASSED
